Id,Name,Type,TcgDate,OcgDate,Artwork
1174075,Drytron Mu Beta Fafnir,XYZ Monster,06/03/2021,01/16/2021,https://images.ygoprodeck.com/images/cards_cropped/1174075.jpg
1184620,Kojikocy,Normal Monster,03/29/2002,07/22/1999,https://images.ygoprodeck.com/images/cards_cropped/1184620.jpg
1187243,Tailwind of Gusto,Spell Card,08/12/2021,04/17/2021,https://images.ygoprodeck.com/images/cards_cropped/1187243.jpg
1197847,Phantasm Spiral Wave,Spell Card,05/04/2017,01/14/2017,https://images.ygoprodeck.com/images/cards_cropped/1197847.jpg
1200843,Mirror of Yata,Spell Card,08/09/2008,04/19/2008,https://images.ygoprodeck.com/images/cards_cropped/1200843.jpg
1218214,Cubic Dharma,Spell Card,03/19/2020,02/09/2019,https://images.ygoprodeck.com/images/cards_cropped/1218214.jpg
1224927,Malevolent Catastrophe,Trap Card,10/24/2007,03/25/2004,https://images.ygoprodeck.com/images/cards_cropped/1224927.jpg
1225009,Arianna the Labrynth Servant,Effect Monster,08/25/2022,03/19/2022,https://images.ygoprodeck.com/images/cards_cropped/1225009.jpg
1248895,Chain Destruction,Trap Card,10/20/2002,09/28/2000,https://images.ygoprodeck.com/images/cards_cropped/1248895.jpg
1249315,Herald of Pure Light,XYZ Monster,08/08/2013,04/20/2013,https://images.ygoprodeck.com/images/cards_cropped/1249315.jpg
1259814,RGB Rainbowlution,Trap Card,06/22/2023,12/17/2022,https://images.ygoprodeck.com/images/cards_cropped/1259814.jpg
1264319,Gem-Knight Fusion,Spell Card,05/29/2011,04/27/2010,https://images.ygoprodeck.com/images/cards_cropped/1264319.jpg
1274455,Kozmo Soartroopers,Effect Monster,01/14/2016,09/10/2016,https://images.ygoprodeck.com/images/cards_cropped/1274455.jpg
1278431,Ancient Gear Frame,Effect Monster,02/22/2018,11/11/2017,https://images.ygoprodeck.com/images/cards_cropped/1278431.jpg
1281505,Vylon Tetra,Tuner Monster,02/03/2012,12/01/2010,https://images.ygoprodeck.com/images/cards_cropped/1281505.jpg
1287123,Prime Material Falcon,Effect Monster,02/28/2009,09/19/2009,https://images.ygoprodeck.com/images/cards_cropped/1287123.jpg
1295111,Salamangreat Sanctuary,Spell Card,10/18/2018,07/14/2018,https://images.ygoprodeck.com/images/cards_cropped/1295111.jpg
1295442,Icejade Creation Aegirocassis,Tuner Monster,08/04/2022,04/23/2022,https://images.ygoprodeck.com/images/cards_cropped/1295442.jpg
1315120,T.G. Striker,Tuner Monster,04/30/2011,02/11/2011,https://images.ygoprodeck.com/images/cards_cropped/1315120.jpg
1322368,SPYRAL Double Helix,Link Monster,10/19/2017,09/09/2017,https://images.ygoprodeck.com/images/cards_cropped/1322368.jpg
1329620,Tearlaments Cryme,Trap Card,08/04/2022,04/23/2022,https://images.ygoprodeck.com/images/cards_cropped/1329620.jpg
1344018,Time Pendulumgraph,Trap Card,06/22/2017,12/23/2016,https://images.ygoprodeck.com/images/cards_cropped/1344018.jpg
1347977,Mysterious Guard,Flip Effect Monster,06/06/2003,09/20/2001,https://images.ygoprodeck.com/images/cards_cropped/1347977.jpg
1353770,"Valhalla, Hall of the Fallen",Spell Card,07/31/2008,12/22/2007,https://images.ygoprodeck.com/images/cards_cropped/1353770.jpg
1357146,Ronintoadin,Effect Monster,05/07/2010,02/20/2010,https://images.ygoprodeck.com/images/cards_cropped/1357146.jpg
1362589,Photon Crusher,Effect Monster,01/14/2012,11/19/2011,https://images.ygoprodeck.com/images/cards_cropped/1362589.jpg
1371589,Vampiric Koala,Effect Monster,01/14/2012,12/19/2009,https://images.ygoprodeck.com/images/cards_cropped/1371589.jpg
1372887,Shared Ride,Spell Card,01/24/2014,11/16/2013,https://images.ygoprodeck.com/images/cards_cropped/1372887.jpg
1409474,Hazy Flame Sphynx,Effect Monster,01/25/2013,11/17/2012,https://images.ygoprodeck.com/images/cards_cropped/1409474.jpg
1412158,Super Roboyarou,Fusion Monster,06/06/2003,11/29/2001,https://images.ygoprodeck.com/images/cards_cropped/1412158.jpg
1426714,Number 48: Shadow Lich,XYZ Monster,05/16/2014,08/21/2013,https://images.ygoprodeck.com/images/cards_cropped/1426714.jpg
1426715,Phantom Token,Token,01/01/1990,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/1426715.jpg
1434352,Chaos Necromancer,Effect Monster,03/01/2004,04/24/2003,https://images.ygoprodeck.com/images/cards_cropped/1434352.jpg
1435851,Dragon Treasure,Spell Card,03/08/2002,05/27/1999,https://images.ygoprodeck.com/images/cards_cropped/1435851.jpg
1474910,Bee List Soldier,Effect Monster,02/28/2009,11/15/2008,https://images.ygoprodeck.com/images/cards_cropped/1474910.jpg
1475311,Allure of Darkness,Spell Card,01/26/2008,09/13/2008,https://images.ygoprodeck.com/images/cards_cropped/1475311.jpg
1487805,Cosmic Slicer Zer'oll,Link Monster,08/12/2021,04/17/2021,https://images.ygoprodeck.com/images/cards_cropped/1487805.jpg
1490690,Canopic Protector,Trap Card,10/19/2023,07/22/2023,https://images.ygoprodeck.com/images/cards_cropped/1490690.jpg
1498130,Kagemusha of the Six Samurai,Tuner Monster,02/08/2011,11/13/2010,https://images.ygoprodeck.com/images/cards_cropped/1498130.jpg
1508649,Altergeist Hexstia,Link Monster,02/01/2018,10/14/2017,https://images.ygoprodeck.com/images/cards_cropped/1508649.jpg
1516510,Rune-Eyes Pendulum Dragon,Fusion Monster,01/15/2015,11/15/2014,https://images.ygoprodeck.com/images/cards_cropped/1516510.jpg
1525329,The Hunter with 7 Weapons,Effect Monster,06/06/2003,09/20/2001,https://images.ygoprodeck.com/images/cards_cropped/1525329.jpg
1527418,"Wiz, Sage Fur Hire",Effect Monster,05/24/2018,02/24/2018,https://images.ygoprodeck.com/images/cards_cropped/1527418.jpg
1533292,R-Genex Magma,Effect Monster,09/25/2010,04/14/2009,https://images.ygoprodeck.com/images/cards_cropped/1533292.jpg
1539051,Space Gift,Spell Card,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/1539051.jpg
1546123,Cyber End Dragon,Fusion Monster,08/06/2005,05/26/2005,https://images.ygoprodeck.com/images/cards_cropped/1546123.jpg
1546123,Cyber End Dragon,Fusion Monster,08/06/2005,05/26/2005,https://images.ygoprodeck.com/images/cards_cropped/1546123.jpg
1557341,"Rose, Warrior of Revenge",Tuner Monster,11/01/2008,09/19/2009,https://images.ygoprodeck.com/images/cards_cropped/1557341.jpg
1557499,Silver Bow and Arrow,Spell Card,03/08/2002,05/27/1999,https://images.ygoprodeck.com/images/cards_cropped/1557499.jpg
1561110,ABC-Dragon Buster,Fusion Monster,10/20/2016,06/18/2016,https://images.ygoprodeck.com/images/cards_cropped/1561110.jpg
1566817,Cupid Serve,Effect Monster,01/30/2020,10/12/2019,https://images.ygoprodeck.com/images/cards_cropped/1566817.jpg
1571945,White Ninja,Flip Effect Monster,05/28/2005,02/24/2005,https://images.ygoprodeck.com/images/cards_cropped/1571945.jpg
1580833,Dinomist Stegosaur,Pendulum Effect Monster,01/14/2016,10/17/2015,https://images.ygoprodeck.com/images/cards_cropped/1580833.jpg
1586457,Deep-Space Cruiser IX,Effect Monster,01/24/2014,11/16/2013,https://images.ygoprodeck.com/images/cards_cropped/1586457.jpg
1596508,Dimension Fortress Weapon,Effect Monster,02/28/2009,11/15/2008,https://images.ygoprodeck.com/images/cards_cropped/1596508.jpg
1607603,Double Dai,Trap Card,04/25/2024,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/1607603.jpg
